127.0.0.1, 2019-09-08 18:18:36, GET, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.228383
127.0.0.1, 2019-09-08 18:18:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:29:48, GET, /static/movies/index.html, HTTP/1.1, 404, 0.000998
127.0.0.1, 2019-09-08 18:29:54, GET, /static/test.html, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:29:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2019-09-08 18:29:59, GET, /movies/static/test.html, HTTP/1.1, 200, 0.001997
127.0.0.1, 2019-09-08 18:30:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:31:13, GET, /movies/static/test.html, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-09-08 18:31:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:35:16, GET, /movies/static/test.html, HTTP/1.1, 200, 0.000996
127.0.0.1, 2019-09-08 18:35:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:37:42, GET, /movies/static/test.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2019-09-08 18:37:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:46:35, GET, /movies/static/test.html, HTTP/1.1, 200, 0.000996
127.0.0.1, 2019-09-08 18:46:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:48:50, GET, /movies/static/test.html, HTTP/1.1, 200, 0.002991
127.0.0.1, 2019-09-08 18:48:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:49:24, GET, /movies/static/test.html, HTTP/1.1, 200, 0.000997
127.0.0.1, 2019-09-08 18:49:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2019-09-08 18:50:30, GET, /movies/static/test.html, HTTP/1.1, 200, 0.000997
127.0.0.1, 2019-09-08 18:50:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:50:43, GET, /movies/static/test.html, HTTP/1.1, 200, 0.001994
127.0.0.1, 2019-09-08 18:50:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:51:29, GET, /movies/static/test.html, HTTP/1.1, 200, 0.000997
127.0.0.1, 2019-09-08 18:51:30, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.005985
127.0.0.1, 2019-09-08 18:51:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:52:18, GET, /movies/static/test.html, HTTP/1.1, 200, 0.001994
127.0.0.1, 2019-09-08 18:52:18, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.002992
127.0.0.1, 2019-09-08 18:52:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:52:39, GET, /movies/static/test.html, HTTP/1.1, 200, 0.001026
127.0.0.1, 2019-09-08 18:52:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2019-09-08 18:52:39, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.473733
127.0.0.1, 2019-09-08 18:52:48, GET, /movies/static/test.html, HTTP/1.1, 304, 0.000998
127.0.0.1, 2019-09-08 18:52:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000979
127.0.0.1, 2019-09-08 18:52:49, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.553524
127.0.0.1, 2019-09-08 18:53:10, GET, /admin/tickets/movies/127.0.0.1.2019-09-08.18-52-49.ea52e226-9bed-4e5e-bdbe-91664a8d0417, HTTP/1.1, 404, 0.022938
127.0.0.1, 2019-09-08 18:53:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
